freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.176e+02,7.401e+00,9.254e+00,7.343e+02
1.5,4.093e+02,2.658e+01,1.714e+01,4.530e+02
3.0,2.521e+01,3.044e+01,2.096e+01,7.661e+01
4.5,4.834e+02,2.926e+01,3.413e+01,5.468e+02
6.0,1.927e+03,2.898e+01,2.943e+01,1.985e+03
7.5,3.249e+03,3.331e+01,3.518e+01,3.318e+03
9.0,4.695e+03,3.980e+01,3.899e+01,4.774e+03
10.5,6.247e+03,5.193e+01,4.034e+01,6.340e+03
12.0,7.863e+03,5.233e+01,4.430e+01,7.959e+03
13.5,9.722e+03,4.331e+01,4.889e+01,9.814e+03
15.0,1.214e+04,3.785e+01,5.777e+01,1.223e+04
16.5,1.527e+04,3.856e+01,7.261e+01,1.538e+04
18.0,1.911e+04,3.855e+01,8.671e+01,1.924e+04
19.5,2.501e+04,3.702e+01,1.055e+02,2.516e+04
21.0,3.161e+04,3.765e+01,1.274e+02,3.177e+04
22.5,3.633e+04,3.990e+01,1.467e+02,3.651e+04
24.0,3.992e+04,6.835e+01,1.495e+02,4.014e+04
25.5,4.437e+04,1.276e+02,1.451e+02,4.464e+04
27.0,5.063e+04,5.941e+01,1.560e+02,5.084e+04
28.5,6.016e+04,4.941e+01,1.865e+02,6.039e+04
30.0,7.362e+04,5.510e+01,2.491e+02,7.392e+04
31.5,8.911e+04,5.786e+01,3.378e+02,8.951e+04
33.0,1.025e+05,6.698e+01,3.801e+02,1.030e+05
34.5,1.162e+05,6.539e+01,4.135e+02,1.167e+05
36.0,1.325e+05,6.036e+01,4.614e+02,1.330e+05
37.5,1.519e+05,6.324e+01,5.030e+02,1.525e+05
39.0,1.753e+05,6.297e+01,5.161e+02,1.759e+05
40.5,2.007e+05,6.934e+01,5.437e+02,2.013e+05
42.0,2.233e+05,7.712e+01,6.151e+02,2.240e+05
43.5,2.484e+05,1.025e+02,7.090e+02,2.492e+05
45.0,2.836e+05,1.218e+02,7.617e+02,2.845e+05
46.5,3.328e+05,1.316e+02,7.575e+02,3.337e+05
48.0,3.944e+05,1.713e+02,7.150e+02,3.953e+05
49.5,4.782e+05,2.175e+02,6.700e+02,4.791e+05
51.0,5.974e+05,2.191e+02,7.794e+02,5.984e+05
52.5,7.619e+05,3.094e+02,1.693e+03,7.639e+05
54.0,1.010e+06,7.132e+02,3.947e+03,1.014e+06
55.5,1.415e+06,2.135e+03,7.586e+03,1.424e+06
57.0,2.053e+06,4.259e+03,1.189e+04,2.069e+06
