freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.497e+01,3.195e+02,1.095e+01,3.854e+02
1.5,5.764e+01,1.917e+02,2.341e+01,2.727e+02
3.0,3.783e+01,2.925e+01,2.518e+01,9.226e+01
4.6,3.475e+01,2.977e+02,2.509e+01,3.576e+02
6.1,3.935e+01,1.119e+03,2.277e+01,1.181e+03
7.6,6.097e+01,1.761e+03,2.164e+01,1.844e+03
9.1,6.206e+01,2.420e+03,2.115e+01,2.503e+03
10.7,5.615e+01,3.576e+03,2.418e+01,3.656e+03
12.2,6.334e+01,5.175e+03,2.616e+01,5.265e+03
13.7,6.113e+01,7.048e+03,2.533e+01,7.135e+03
15.2,8.059e+01,9.100e+03,2.569e+01,9.207e+03
16.8,7.338e+01,1.156e+04,2.574e+01,1.166e+04
18.3,7.560e+01,1.484e+04,2.659e+01,1.495e+04
19.8,9.698e+01,1.912e+04,2.657e+01,1.925e+04
21.3,1.313e+02,2.470e+04,2.613e+01,2.486e+04
22.9,2.142e+02,3.207e+04,2.804e+01,3.231e+04
24.4,3.529e+02,4.190e+04,3.066e+01,4.228e+04
25.9,5.868e+02,5.475e+04,5.891e+01,5.540e+04
27.4,9.898e+02,7.291e+04,1.466e+02,7.405e+04
29.0,1.790e+03,9.994e+04,2.388e+02,1.020e+05
30.5,2.813e+03,1.299e+05,3.074e+02,1.330e+05
32.0,3.402e+03,1.598e+05,2.681e+02,1.634e+05
33.5,4.940e+03,2.090e+05,2.777e+02,2.142e+05
35.1,1.495e+04,3.163e+05,9.814e+02,3.322e+05
36.6,4.175e+04,4.383e+05,3.012e+03,4.830e+05
38.1,6.156e+04,3.991e+05,4.797e+03,4.654e+05
39.6,6.212e+04,2.591e+05,5.120e+03,3.263e+05
41.1,5.203e+04,1.536e+05,4.656e+03,2.102e+05
42.7,4.340e+04,1.065e+05,4.699e+03,1.546e+05
44.2,4.691e+04,8.134e+04,3.739e+03,1.320e+05
45.7,5.793e+04,6.201e+04,3.188e+03,1.231e+05
47.2,7.083e+04,5.560e+04,3.790e+03,1.302e+05
48.8,8.332e+04,7.115e+04,4.125e+03,1.586e+05
50.3,9.712e+04,1.075e+05,3.633e+03,2.082e+05
51.8,1.092e+05,1.619e+05,5.586e+03,2.767e+05
53.3,1.162e+05,2.371e+05,1.099e+04,3.643e+05
54.9,1.125e+05,3.042e+05,1.440e+04,4.310e+05
56.4,1.028e+05,3.563e+05,1.253e+04,4.716e+05
57.9,9.651e+04,3.887e+05,8.795e+03,4.940e+05
59.4,9.468e+04,3.962e+05,5.558e+03,4.965e+05
61.0,8.924e+04,3.702e+05,3.733e+03,4.631e+05
62.5,8.156e+04,3.334e+05,2.723e+03,4.177e+05
64.0,7.717e+04,3.124e+05,1.413e+03,3.910e+05
65.5,6.905e+04,2.830e+05,4.239e+02,3.525e+05
67.1,5.742e+04,2.345e+05,1.372e+02,2.921e+05
68.6,4.889e+04,1.839e+05,1.871e+02,2.330e+05
70.1,4.106e+04,1.340e+05,4.383e+02,1.755e+05
71.6,3.086e+04,8.781e+04,8.300e+02,1.195e+05
73.2,2.213e+04,5.849e+04,1.465e+03,8.208e+04
74.7,1.509e+04,5.104e+04,2.173e+03,6.830e+04
76.2,1.104e+04,6.156e+04,2.690e+03,7.529e+04
77.7,9.334e+03,7.058e+04,2.700e+03,8.262e+04
79.3,8.147e+03,6.695e+04,2.731e+03,7.782e+04
80.8,6.885e+03,5.590e+04,3.126e+03,6.591e+04
82.3,5.270e+03,4.560e+04,3.862e+03,5.473e+04
83.8,3.917e+03,4.049e+04,3.889e+03,4.830e+04
85.3,2.797e+03,4.135e+04,4.228e+03,4.837e+04
86.9,2.260e+03,4.419e+04,4.487e+03,5.094e+04
88.4,2.192e+03,5.366e+04,5.101e+03,6.095e+04
89.9,2.447e+03,5.644e+04,4.097e+03,6.298e+04
91.4,2.564e+03,6.198e+04,3.985e+03,6.853e+04
93.0,2.728e+03,7.138e+04,6.001e+03,8.011e+04
94.5,2.881e+03,6.377e+04,5.759e+03,7.241e+04
96.0,2.974e+03,5.574e+04,4.811e+03,6.352e+04
97.5,2.977e+03,4.935e+04,4.212e+03,5.654e+04
99.1,2.962e+03,4.523e+04,4.048e+03,5.224e+04
100.6,2.813e+03,4.244e+04,4.117e+03,4.937e+04
102.1,2.502e+03,4.081e+04,4.208e+03,4.752e+04
103.6,2.510e+03,4.049e+04,4.077e+03,4.708e+04
105.2,2.926e+03,4.200e+04,3.640e+03,4.857e+04
106.7,3.313e+03,4.376e+04,3.172e+03,5.024e+04
108.2,3.468e+03,4.350e+04,2.814e+03,4.978e+04
109.7,3.675e+03,4.236e+04,2.915e+03,4.895e+04
111.3,3.669e+03,3.966e+04,3.611e+03,4.694e+04
112.8,3.360e+03,3.660e+04,5.116e+03,4.507e+04
114.3,3.352e+03,3.401e+04,7.378e+03,4.474e+04
115.8,3.058e+03,3.170e+04,7.965e+03,4.272e+04
117.4,2.742e+03,3.035e+04,7.190e+03,4.028e+04
118.9,2.513e+03,2.909e+04,5.948e+03,3.755e+04
120.4,2.297e+03,2.794e+04,4.776e+03,3.502e+04
121.9,1.953e+03,2.720e+04,3.976e+03,3.312e+04
123.4,1.637e+03,2.629e+04,3.325e+03,3.125e+04
125.0,1.421e+03,2.545e+04,2.726e+03,2.960e+04
126.5,1.347e+03,2.487e+04,2.761e+03,2.898e+04
128.0,1.314e+03,2.441e+04,3.001e+03,2.873e+04
129.5,1.513e+03,2.426e+04,2.980e+03,2.875e+04
131.1,1.920e+03,2.312e+04,2.991e+03,2.804e+04
132.6,1.677e+03,1.650e+04,2.446e+03,2.063e+04
134.1,1.113e+03,4.575e+03,1.473e+03,7.161e+03
135.6,9.890e+02,1.765e+03,1.388e+03,4.142e+03
137.2,9.942e+02,1.363e+03,1.469e+03,3.826e+03
138.7,9.152e+02,1.199e+03,1.312e+03,3.426e+03
140.2,8.808e+02,1.093e+03,1.431e+03,3.405e+03
141.7,9.846e+02,7.712e+02,1.901e+03,3.657e+03
143.3,1.142e+03,1.139e+03,1.740e+03,4.022e+03
144.8,1.531e+03,2.609e+03,1.934e+03,6.074e+03
146.3,1.426e+03,3.283e+03,1.522e+03,6.230e+03
147.8,1.213e+03,3.561e+03,1.146e+03,5.919e+03
149.4,1.174e+03,3.611e+03,1.011e+03,5.796e+03
150.9,1.254e+03,3.809e+03,1.059e+03,6.122e+03
152.4,1.429e+03,4.182e+03,1.351e+03,6.963e+03
153.9,1.405e+03,4.552e+03,1.400e+03,7.356e+03
155.5,1.524e+03,5.133e+03,1.374e+03,8.032e+03
157.0,1.406e+03,5.710e+03,1.289e+03,8.406e+03
158.5,1.400e+03,5.750e+03,1.394e+03,8.544e+03
160.0,1.671e+03,4.946e+03,1.671e+03,8.289e+03
161.5,1.829e+03,3.721e+03,1.923e+03,7.473e+03
163.1,1.694e+03,2.312e+03,1.900e+03,5.907e+03
164.6,1.496e+03,1.171e+03,1.779e+03,4.446e+03
166.1,1.603e+03,5.670e+02,2.258e+03,4.428e+03
167.6,2.094e+03,6.158e+02,3.749e+03,6.458e+03
169.2,2.715e+03,1.148e+03,5.806e+03,9.669e+03
170.7,3.536e+03,1.761e+03,8.689e+03,1.399e+04
172.2,4.414e+03,2.231e+03,1.126e+04,1.790e+04
173.7,4.648e+03,2.328e+03,1.180e+04,1.878e+04
175.3,5.132e+03,2.858e+03,1.233e+04,2.031e+04
176.8,4.777e+03,3.221e+03,1.089e+04,1.889e+04
178.3,2.856e+03,1.909e+03,6.892e+03,1.166e+04
179.8,1.899e+03,1.529e+03,4.477e+03,7.904e+03
181.4,1.818e+03,1.473e+03,3.395e+03,6.686e+03
182.9,1.759e+03,1.230e+03,2.790e+03,5.779e+03
184.4,1.495e+03,1.378e+03,2.811e+03,5.684e+03
185.9,1.342e+03,1.313e+03,3.122e+03,5.777e+03
187.5,1.177e+03,1.289e+03,3.000e+03,5.466e+03
189.0,1.202e+03,1.624e+03,2.981e+03,5.807e+03
190.5,1.079e+03,1.960e+03,2.608e+03,5.648e+03
192.0,9.751e+02,2.352e+03,2.176e+03,5.503e+03
193.6,1.022e+03,2.736e+03,1.871e+03,5.629e+03
195.1,1.131e+03,2.937e+03,1.631e+03,5.699e+03
196.6,1.396e+03,3.179e+03,1.845e+03,6.420e+03
198.1,1.801e+03,3.366e+03,2.441e+03,7.608e+03
199.6,2.429e+03,3.583e+03,3.670e+03,9.682e+03
