#time,accel_x,accel_y,accel_z
21815.604671,6661.853478,-9252.574275,2451.505594
21815.605004,9178.553681,-8882.471304,3600.648841
21815.605338,10584.944971,-9474.636058,4826.401637
21815.605671,10362.883188,-8364.327145,4443.353888
21815.606004,9992.780217,-7179.997637,0.000000
21815.606338,10807.006753,-10658.965565,2068.457845
21815.606671,8216.285956,-8438.347739,-2987.772442
21815.607004,5921.647536,-8364.327145,-3677.258390
21815.607338,7105.977043,-8364.327145,-4443.353888
21815.607671,7105.977043,-9992.780217,-2528.115143
21815.608005,7772.162391,-9622.677246,-1302.362347
21815.608338,9474.636058,-9696.697840,1225.752797
21815.608671,11473.192101,-9474.636058,3600.648841
21815.609005,6513.812290,-9696.697840,4136.915689
21815.609338,7031.956449,-13619.789333,1762.019645
21815.609671,2960.823768,-9548.656652,3064.381992
21815.610005,5847.626942,-9178.553681,4213.525239
21815.610338,7328.038826,-7402.059420,4290.134789
21815.610672,5255.462188,-6809.894666,1455.581446
21815.611005,4885.359217,-6587.832884,0.000000
21815.611338,6291.750507,-6587.832884,-306.438199
21815.611672,6439.791695,-5995.668130,-2451.505594
21815.612005,10066.800811,-9474.636058,-1915.238745
21815.612338,7920.203579,-9548.656652,-2451.505594
21815.612672,7105.977043,-9548.656652,-919.314598
21815.613005,11769.274478,-12879.583391,-1915.238745
21815.613338,11177.109724,-11843.295072,306.438199
21815.613672,9400.615463,-11991.336260,383.047749
21815.614005,7846.182985,-10288.862594,1378.971896
21815.614339,8660.409521,-9178.553681,2298.286494
21815.614672,8882.471304,-5625.565159,3064.381992
21815.615005,11769.274478,-6217.729913,4826.401637
21815.615339,11399.171507,-4885.359217,4290.134789
21815.615672,8882.471304,-7105.977043,1915.238745
21815.616005,7846.182985,-8734.430116,-1302.362347
21815.616339,5255.462188,-11547.212695,-2834.553343
21815.616672,3552.988522,-11843.295072,-306.438199
21815.617005,5847.626942,-11547.212695,-3907.087040
21815.617339,4737.318029,-9548.656652,0.000000
21815.617672,9474.636058,-8956.491898,3370.820191
21815.618006,13545.768739,-7105.977043,3907.087040
21815.618339,13397.727550,-7698.141797,4596.572988
21815.618672,9622.677246,-7328.038826,995.924147
21815.619006,8586.388927,-8216.285956,-1685.410096
21815.619339,8882.471304,-6291.750507,-3677.258390
21815.619672,9474.636058,-11547.212695,-1915.238745
21815.620006,6587.832884,-9548.656652,-4903.011187
21815.620339,5329.482782,-13397.727550,1302.362347
21815.620672,10584.944971,-13027.624579,2374.896044
21815.621006,10066.800811,-7476.080014,3983.696590
21815.621339,15026.180623,-6957.935855,6281.983084
21815.621673,17024.736666,-4515.256246,6511.811733
21815.622006,15914.427753,-5625.565159,4826.401637
21815.622339,13619.789333,-7179.997637,383.047749
21815.622673,9400.615463,-14211.954086,-3140.991542
21815.623006,5921.647536,-9548.656652,-7354.516781
21815.623339,1184.329507,-13693.809927,-5822.325785
21815.623673,6513.812290,-10955.047942,-5286.058936
21815.624006,7105.977043,-11843.295072,-995.924147
21815.624339,12065.356855,-6957.935855,3524.039291
21815.624673,18135.045579,-6365.771101,9039.926876
21815.625006,16062.468941,-8586.388927,9729.412825
21815.625340,16950.716072,-7994.224174,7277.907231
21815.625673,12361.439231,-9474.636058,2374.896044
21815.626006,12583.501014,-5995.668130,612.876398
21815.626340,13323.706956,-7105.977043,2145.067394
21815.626673,11769.274478,-9474.636058,-3753.867940
21815.627006,7105.977043,-10807.006753,-5132.839837
21815.627340,5033.400406,-12805.562797,-5439.278036
21815.627673,4441.235652,-11991.336260,-5898.935335
21815.628006,4811.338623,-10584.944971,-3753.867940
21815.628340,11473.192101,-9474.636058,2987.772442
21815.628673,11177.109724,-8660.409521,7354.516781
21815.629007,15914.427753,-4441.235652,8733.488677
21815.629340,14434.015869,-8142.265362,7737.564530
21815.629673,12139.377449,-8364.327145,4903.011187
21815.630007,13249.686362,-4811.338623,2451.505594
21815.630340,12139.377449,-9178.553681,-76.609550
21815.630673,9252.574275,-9474.636058,-6205.373534
21815.631007,2368.659014,-9548.656652,-7967.393179
21815.631340,3034.844362,-11473.192101,-8273.831378
21815.631673,6809.894666,-11621.233289,-3830.477490
21815.632007,8586.388927,-11029.068536,-1991.848295
21815.632340,11473.192101,-11399.171507,3983.696590
21815.632674,12139.377449,-9474.636058,8886.707777
21815.633007,7624.121203,-10436.903782,4903.011187
21815.633340,11177.109724,-8290.306550,6052.154434
21815.633674,7772.162391,-5403.503377,5209.449386
21815.634007,7698.141797,-3627.009116,6741.640382
21815.634340,4071.132681,-8290.306550,-1072.533697
21815.634674,-2146.597232,-11547.212695,-6818.249932
21815.635007,-2368.659014,-10955.047942,-6511.811733
21815.635340,-444.123565,-8882.471304,-4979.620737
21815.635674,4663.297435,-9474.636058,-1915.238745
21815.636007,-2072.576638,-7179.997637,-2451.505594
21815.636341,2294.638420,-14211.954086,-383.047749
21815.636674,4071.132681,-9992.780217,1378.971896
21815.637007,10066.800811,-9252.574275,6741.640382
21815.637341,11769.274478,-10362.883188,9729.412825
21815.637674,6143.709319,-7550.100608,4366.744339
21815.638007,2960.823768,-10214.842000,1302.362347
21815.638341,1332.370696,-7920.203579,-1378.971896
21815.638674,3182.885551,-8882.471304,-1455.581446
21815.639008,3478.967927,-8216.285956,-76.609550
21815.639341,814.226536,-7772.162391,-3677.258390
21815.639674,0.000000,-6587.832884,-4903.011187
21815.640008,3478.967927,-13619.789333,-1915.238745
21815.640341,3182.885551,-4293.194464,-3064.381992
21815.640674,8512.368333,-7550.100608,3140.991542
21815.641008,8660.409521,-8734.430116,5132.839837
21815.641341,7994.224174,-8956.491898,1762.019645
21815.641674,5551.544565,-11695.253884,1762.019645
21815.642008,6439.791695,-11251.130318,1149.143247
21815.642341,4071.132681,-9548.656652,0.000000
21815.642675,2664.741391,-12213.398043,0.000000
21815.643008,1998.556043,-10658.965565,-3140.991542
21815.643341,0.000000,-7328.038826,-3677.258390
21815.643675,3330.926739,-7105.977043,-1149.143247
21815.644008,2960.823768,-9992.780217,1915.238745
21815.644341,6291.750507,-5773.606348,2757.943793
21815.644675,5181.441594,-9252.574275,4443.353888
21815.645008,7031.956449,-9474.636058,842.705048
21815.645341,3330.926739,-10510.924376,383.047749
21815.645675,1850.514855,-11029.068536,-76.609550
21815.646008,1702.473667,-11251.130318,-536.266849
21815.646342,0.000000,-11325.150913,0.000000
21815.646675,1332.370696,-10955.047942,-76.609550
21815.647008,-666.185348,-8290.306550,-689.485948
21815.647342,0.000000,-7179.997637,2451.505594
21815.647675,1702.473667,-5921.647536,-383.047749
21815.648008,-666.185348,-7920.203579,-3064.381992
21815.648342,2886.803174,-8438.347739,-919.314598
21815.648675,888.247130,-10510.924376,3447.429741
21815.649008,4071.132681,-7179.997637,3753.867940
21815.649342,1702.473667,-12731.542202,2987.772442
21815.649675,4663.297435,-7698.141797,-76.609550
21815.650009,0.000000,-9548.656652,2451.505594
21815.650342,0.000000,-6587.832884,2068.457845
21815.650675,-74.020594,-11843.295072,-1302.362347
21815.651009,-7105.977043,-9548.656652,-919.314598
21815.651342,-74.020594,-7328.038826,-2528.115143
21815.651675,-3849.070898,-13027.624579,-1072.533697
21815.652009,-740.205942,-8290.306550,-1608.800546
21815.652342,-3923.091493,-10066.800811,-76.609550
21815.652675,-1258.350101,-9474.636058,-76.609550
21815.653009,962.267725,-5699.585753,1378.971896
21815.653342,592.164754,-10881.027347,5515.887586
21815.653676,6735.874072,-5921.647536,4826.401637
21815.654009,1998.556043,-11103.089130,4213.525239
21815.654342,1406.391290,-8808.450710,1532.190996
21815.654676,-1332.370696,-9030.512492,-2221.676944
21815.655009,-3701.029710,-11843.295072,-2987.772442
21815.655342,-1776.494261,-7772.162391,-3677.258390
21815.655676,-3034.844362,-12065.356855,-5515.887586
21815.656009,-6513.812290,-9548.656652,0.000000
21815.656342,-1850.514855,-8290.306550,-76.609550
21815.656676,666.185348,-7994.224174,-76.609550
21815.657009,3108.864956,-4811.338623,4366.744339
21815.657343,3701.029710,-6957.935855,5439.278036
21815.657676,4737.318029,-7328.038826,3140.991542
21815.658009,3552.988522,-9326.594869,4596.572988
21815.658343,3404.947333,-11695.253884,1149.143247
21815.658676,0.000000,-9548.656652,0.000000
21815.659009,-1850.514855,-11843.295072,-2528.115143
21815.659343,-74.020594,-12731.542202,-4979.620737
21815.659676,-4737.318029,-9548.656652,-2911.162892
21815.660009,-2072.576638,-8364.327145,-3140.991542
21815.660343,148.041188,-10214.842000,1378.971896
21815.660676,1702.473667,-9918.759623,3753.867940
21815.661010,1776.494261,-7402.059420,2911.162892
21815.661343,3478.967927,-7105.977043,5745.716235
21815.661676,3849.070898,-9548.656652,4749.792088
21815.662010,4811.338623,-6143.709319,5286.058936
21815.662343,1850.514855,-8364.327145,1378.971896
21815.662676,1406.391290,-10807.006753,-536.266849
21815.663010,-1184.329507,-10140.821405,-2451.505594
21815.663343,-3552.988522,-10732.986159,-7354.516781
21815.663676,-444.123565,-10658.965565,-2528.115143
21815.664010,-3330.926739,-13397.727550,-4290.134789
21815.664343,-1258.350101,-10066.800811,1762.019645
21815.664677,1406.391290,-7994.224174,3294.210641
21815.665010,592.164754,-7920.203579,4519.963438
21815.665343,5255.462188,-3552.988522,5132.839837
21815.665677,1480.411884,-10140.821405,4290.134789
21815.666010,5847.626942,-7105.977043,4213.525239
21815.666343,-3552.988522,-7179.997637,0.000000
21815.666677,0.000000,-8956.491898,-76.609550
21815.667010,-74.020594,-9178.553681,-3140.991542
21815.667343,-5921.647536,-11325.150913,-4903.011187
21815.667677,-666.185348,-10362.883188,-3140.991542
21815.668010,-4515.256246,-10214.842000,-2987.772442
21815.668344,-1480.411884,-11621.233289,-2145.067394
21815.668677,-2368.659014,-11621.233289,1915.238745
21815.669010,666.185348,-5181.441594,2068.457845
21815.669344,1480.411884,-5995.668130,7354.516781
21815.669677,6735.874072,-7698.141797,7277.907231
21815.670010,4663.297435,-9326.594869,2987.772442
21815.670344,1480.411884,-7994.224174,4213.525239
21815.670677,222.061783,-8734.430116,-3064.381992
21815.671011,-2886.803174,-10214.842000,-3064.381992
21815.671344,-3256.906145,-9844.739029,-2834.553343
21815.671677,-2886.803174,-7179.997637,-3064.381992
21815.672011,-2960.823768,-12509.480420,-3677.258390
21815.672344,0.000000,-11029.068536,2834.553343
21815.672677,4071.132681,-9474.636058,3600.648841
21815.673011,4071.132681,-5921.647536,2374.896044
21815.673344,3552.988522,-9400.615463,8810.098227
21815.673677,1110.308913,-7031.956449,459.657299
21815.674011,1332.370696,-10140.821405,3677.258390
21815.674344,1332.370696,-6587.832884,1149.143247
21815.674678,444.123565,-9548.656652,0.000000
21815.675011,-1776.494261,-6587.832884,-2451.505594
21815.675344,-3256.906145,-10807.006753,-4749.792088
21815.675678,-2516.700203,-8660.409521,-2681.334243
21815.676011,-4071.132681,-11177.109724,-3140.991542
21815.676344,-74.020594,-11843.295072,-689.485948
21815.676678,814.226536,-8364.327145,0.000000
21815.677011,3849.070898,-9548.656652,6052.154434
